ID,Name,Sprite,Shiny Sprite,Hidden Ability
12_gmax,Gmax Butterfree,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0012_000_mf_g_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0012_000_mf_g_00000000_f_r.png""",
13,Weedle,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0013_000_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0013_000_mf_n_00000000_f_r.png""",Run Away
14,Kakuna,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0014_000_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0014_000_mf_n_00000000_f_r.png""",
15,Beedrill,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0015_000_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0015_000_mf_n_00000000_f_r.png""",Sniper
15_mega,Mega Beedrill,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0015_001_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0015_001_mf_n_00000000_f_r.png""",
16,Pidgey,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0016_000_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0016_000_mf_n_00000000_f_r.png""",Big Pecks
17,Pidgeotto,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0017_000_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0017_000_mf_n_00000000_f_r.png""",Big Pecks
18,Pidgeot,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0018_000_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0018_000_mf_n_00000000_f_r.png""",Big Pecks
18_mega,Mega Pidgeot,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0018_001_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0018_001_mf_n_00000000_f_r.png""",
19,Rattata,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0019_000_md_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0019_000_md_n_00000000_f_r.png""",Hustle
19_m,Rattata ♂,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0019_000_md_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0019_000_md_n_00000000_f_r.png""",
19_w,Rattata ♀,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0019_000_fd_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0019_000_fd_n_00000000_f_r.png""",
19_alola,Alolan Rattata,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0019_001_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0019_001_mf_n_00000000_f_r.png""",Thick Fat
20,Raticate,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0020_000_md_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0020_000_md_n_00000000_f_r.png""",Hustle
20_m,Raticate ♂,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0020_000_md_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0020_000_md_n_00000000_f_r.png""",
20_w,Raticate ♀,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0020_000_fd_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0020_000_fd_n_00000000_f_r.png""",
20_alola,Alolan Raticate,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0020_001_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0020_001_mf_n_00000000_f_r.png""",Thick Fat
20_alola_herrscher,Totem Alolan Raticate,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0020_001_mf_n_00000000_f_n.png""",,
21,Spearow,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0021_000_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0021_000_mf_n_00000000_f_r.png""",Sniper
22,Fearow,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0022_000_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0022_000_mf_n_00000000_f_r.png""",Sniper
23,Ekans,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0023_000_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0023_000_mf_n_00000000_f_r.png""",Unnerve
24,Arbok,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0024_000_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0024_000_mf_n_00000000_f_r.png""",Unnerve
25,Pikachu,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0025_000_md_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0025_000_md_n_00000000_f_r.png""",Lightning Rod
25_m,Pikachu ♂,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0025_000_md_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0025_000_md_n_00000000_f_r.png""",
25_w,Pikachu ♀,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0025_000_fd_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0025_000_fd_n_00000000_f_r.png""",
25_cosplay,Cosplay Pikachu,"""https://www.serebii.net/xy/pokemon/025-c.png""","""https://www.serebii.net/Shiny/XY/025-c.png""",
25_rocker,Pikachu Rock Star,"""https://www.serebii.net/xy/pokemon/025-r.png""",,
25_damen,Pikachu Belle,"""https://www.serebii.net/xy/pokemon/025-b.png""",,
25_star,Pikachu Pop Star,"""https://www.serebii.net/xy/pokemon/025-ps.png""",,
25_professor,Pikachu Ph. D,"""https://www.serebii.net/xy/pokemon/025-phd.png""",,
25_wrestler,Pikachu Libre,"""https://www.serebii.net/xy/pokemon/025-l.png""",,
25_ash_kanto,Original Cap Pikachu,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0025_001_mo_n_00000000_f_n.png""",,
25_ash_hoenn,Hoenn Cap Pikachu,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0025_002_mo_n_00000000_f_n.png""",,
25_ash_sinnoh,Sinnoh Cap Pikachu,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0025_003_mo_n_00000000_f_n.png""",,
25_ash_einall,Unova Cap Pikachu,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0025_004_mo_n_00000000_f_n.png""",,
25_ash_kalos,Kalos Cap Pikachu,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0025_005_mo_n_00000000_f_n.png""",,
25_ash_alola,Alola Cap Pikachu,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0025_006_mo_n_00000000_f_n.png""",,
25_partner_cap,Partner Cap Pikachu,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0025_007_mo_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0025_007_mo_n_00000000_f_n.png""",
25_ash_weltreise,World Cap Pikachu,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0025_009_mo_n_00000000_f_n.png""",,
25_partner,Partner Pikachu,"""https://archives.bulbagarden.net/media/upload/thumb/7/7d/025Pikachu_PE.png/1024px-025Pikachu_PE.png""",,
25_gmax,Gmax Pikachu,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0025_000_mf_g_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0025_000_mf_g_00000000_f_r.png""",
26,Raichu,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0026_000_md_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0026_000_md_n_00000000_f_r.png""",Lightning Rod
26_m,Raichu ♂,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0026_000_md_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0026_000_md_n_00000000_f_r.png""",
26_w,Raichu ♀,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0026_000_fd_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0026_000_fd_n_00000000_f_r.png""",
26_alola,Alolan Raichu,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0026_001_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0026_001_mf_n_00000000_f_r.png""",
27,Sandshrew,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0027_000_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0027_000_mf_n_00000000_f_r.png""",Sand Rush
27_alola,Alolan Sandshrew,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0027_001_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0027_001_mf_n_00000000_f_r.png""",Slush Rush
28,Sandslash,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0028_000_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0028_000_mf_n_00000000_f_r.png""",Sand Rush
28_alola,Alolan Sandslash,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0028_001_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0028_001_mf_n_00000000_f_r.png""",Slush Rush
29,Nidoran♀,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0029_000_fo_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0029_000_fo_n_00000000_f_r.png""",Hustle
30,Nidorina,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0030_000_fo_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0030_000_fo_n_00000000_f_r.png""",Hustle
31,Nidoqueen,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0031_000_fo_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0031_000_fo_n_00000000_f_r.png""",Sheer Force
32,Nidoran♂,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0032_000_mo_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0032_000_mo_n_00000000_f_r.png""",Hustle
33,Nidorino,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0033_000_mo_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0033_000_mo_n_00000000_f_r.png""",Hustle
34,Nidoking,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0034_000_mo_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0034_000_mo_n_00000000_f_r.png""",Sheer Force
35,Clefairy,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0035_000_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0035_000_mf_n_00000000_f_r.png""",Friend Guard
36,Clefable,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0036_000_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0036_000_mf_n_00000000_f_r.png""",Unaware
37,Vulpix,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0037_000_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0037_000_mf_n_00000000_f_r.png""",Drought
37_alola,Alolan Vulpix,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0037_001_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0037_001_mf_n_00000000_f_r.png""",Snow Warning
38,Ninetales,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0038_000_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0038_000_mf_n_00000000_f_r.png""",Drought
38_alola,Alolan Ninetales,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0038_001_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0038_001_mf_n_00000000_f_r.png""",Snow Warning
39,Jigglypuff,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0039_000_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0039_000_mf_n_00000000_f_r.png""",Friend Guard
40,Wigglytuff,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0040_000_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0040_000_mf_n_00000000_f_r.png""",Frisk
41,Zubat,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0041_000_md_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0041_000_md_n_00000000_f_r.png""",Infiltrator
41_m,Zubat ♂,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0041_000_md_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0041_000_md_n_00000000_f_r.png""",
41_w,Zubat ♀,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0041_000_fd_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0041_000_fd_n_00000000_f_r.png""",
42,Golbat,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0042_000_md_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0042_000_md_n_00000000_f_r.png""",Infiltrator
42_m,Golbat ♂,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0042_000_md_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0042_000_md_n_00000000_f_r.png""",
42_w,Golbat ♀,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0042_000_fd_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0042_000_fd_n_00000000_f_r.png""",
43,Oddish,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0043_000_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0043_000_mf_n_00000000_f_r.png""",Run Away
44,Gloom,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0044_000_md_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0044_000_md_n_00000000_f_r.png""",Stench
44_m,Gloom ♂,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0044_000_md_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0044_000_md_n_00000000_f_r.png""",
44_w,Gloom ♀,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0044_000_fd_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0044_000_fd_n_00000000_f_r.png""",
45,Vileplume,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0045_000_md_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0045_000_md_n_00000000_f_r.png""",Effect Spore
45_m,Vileplume ♂,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0045_000_md_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0045_000_md_n_00000000_f_r.png""",
45_w,Vileplume ♀,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0045_000_fd_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0045_000_fd_n_00000000_f_r.png""",
46,Paras,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0046_000_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0046_000_mf_n_00000000_f_r.png""",Damp
47,Parasect,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0047_000_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0047_000_mf_n_00000000_f_r.png""",Damp
48,Venonat,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0048_000_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0048_000_mf_n_00000000_f_r.png""",Run Away
49,Venomoth,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0049_000_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0049_000_mf_n_00000000_f_r.png""",Wonder Skin
50,Diglett,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0050_000_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0050_000_mf_n_00000000_f_r.png""",Sand Force
50_alola,Alolan Diglett,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0050_001_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0050_001_mf_n_00000000_f_r.png""",Sand Force
51,Dugtrio,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0051_000_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0051_000_mf_n_00000000_f_r.png""",Sand Force
51_alola,Alolan Dugtrio,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0051_001_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0051_001_mf_n_00000000_f_r.png""",Sand Force
52,Meowth,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0052_000_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0052_000_mf_n_00000000_f_r.png""",Unnerve
52_alola,Alolan Mewoth,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0052_001_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0052_001_mf_n_00000000_f_r.png""",Rattled
52_galar,Galarian Meowth,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0052_002_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0052_002_mf_n_00000000_f_r.png""",Unnerve
52_gmax,Gmax Meowth,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0052_000_mf_g_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0052_000_mf_g_00000000_f_r.png""",
53,Persian,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0053_000_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0053_000_mf_n_00000000_f_r.png""",Unnerve
53_alola,Alolan Persian,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0053_001_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0053_001_mf_n_00000000_f_r.png""",Rattled
54,Psyduck,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0054_000_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0054_000_mf_n_00000000_f_r.png""",Swift Swim
55,Golduck,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0055_000_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0055_000_mf_n_00000000_f_r.png""",Swift Swim
56,Mankey,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0056_000_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0056_000_mf_n_00000000_f_r.png""",Defiant
57,Primeape,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0057_000_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0057_000_mf_n_00000000_f_r.png""",Defiant
58,Growlithe,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0058_000_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0058_000_mf_n_00000000_f_r.png""",Justified
58_hisui,Hisuian Growlithe,"""https://www.pokewiki.de/images/3/35/Pokémonsprite_058a_HOME.png""","""https://www.pokewiki.de/images/6/6a/Pokémonsprite_058a_Schillernd_HOME.png""",Justified
59,Arcanine,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0059_000_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0059_000_mf_n_00000000_f_r.png""",Justified
59_hisui,Hisuian Arcanine,"""https://www.pokewiki.de/images/4/43/Pokémonsprite_059a_HOME.png""","""https://www.pokewiki.de/images/4/41/Pokémonsprite_059a_Schillernd_HOME.png""",Justified
60,Poliwag,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0060_000_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0060_000_mf_n_00000000_f_r.png""",Swift Swim
61,Poliwhirl,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0061_000_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0061_000_mf_n_00000000_f_r.png""",Swift Swim
